"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GRC","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1990",19.611,
"GRC","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1995",19.263,
"GRC","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",20.779,
"GRC","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",19.238,
"GRC","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",19.152,
"GRC","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",19.81,
"GRC","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",17.438,
"GRC","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",16.77,
"GRC","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",15.799,
"GRC","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",16.155,
"GRC","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",14.54,
"GRC","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",14.511,
"GRC","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2018",14.586,
"GRC","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2019",14.32,
"HUN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1990",25.466,
"HUN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1995",25.025,
"HUN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",21.5,
"HUN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",20.405,
"HUN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",20.212,
"HUN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",20.937,
"HUN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",18.586,
"HUN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",17.641,
"HUN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",17.676,
"HUN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",17.688,
"HUN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",15.855,
"HUN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",16.698,
